Player,Team (Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Jaxon Smith-Njigba,SEA (8),14,31,19.0,12.0,13.0,14.7,94.7,1121.1,6.6,2.6,20.5,0.0,0.6,152.8
Davante Adams,LAR (8),15,42,12.0,20.0,16.0,16.0,85.4,1101.6,8.3,0.3,0.0,0.0,0.5,159.2
Mike Evans,TB (9),16,44,13.0,18.0,20.0,17.0,79.2,1063.4,9.9,0.0,0.0,0.0,0.5,164.5
Garrett Wilson,NYJ (9),17,33,21.0,15.0,15.0,17.0,91.7,1095.7,6.0,1.9,13.5,0.0,1.3,144.5
Terry McLaurin,WAS (12),18,41,16.0,16.0,19.0,17.0,83.6,1115.4,8.2,1.1,4.8,0.0,0.9,159.7
Marvin Harrison Jr.,ARI (8),19,38,17.0,17.0,17.0,17.0,79.6,1098.9,7.7,0.0,3.2,0.0,1.0,154.5
DJ Moore,CHI (5),20,46,22.0,21.0,18.0,20.3,86.7,1007.7,6.3,9.5,54.0,0.1,0.9,142.7
DK Metcalf,PIT (5),21,49,18.0,22.0,22.0,20.7,77.8,1137.9,7.3,0.0,1.2,0.0,1.3,154.9
Courtland Sutton,DEN (12),22,50,23.0,23.0,21.0,22.3,76.7,1016.3,7.4,0.0,0.2,0.0,0.9,144.3
Xavier Worthy,KC (10),23,60,20.0,26.0,27.0,24.3,70.6,874.0,7.1,15.7,84.6,1.5,0.5,146.5
DeVonta Smith,PHI (9),24,52,25.0,25.0,24.0,24.7,81.2,977.7,6.8,0.3,1.2,0.0,0.5,137.7
Rashee Rice,KC (10),25,47,33.0,19.0,25.0,25.7,70.5,829.6,5.9,1.1,4.3,0.0,0.6,117.7
Zay Flowers,BAL (7),26,62,24.0,24.0,31.0,26.3,74.9,1028.7,6.3,8.2,48.4,0.1,0.5,145.2
Tetairoa McMillan,CAR (14),27,55,31.0,28.0,23.0,27.3,70.5,907.2,5.5,0.5,7.4,0.0,1.2,121.9
Jameson Williams,DET (8),28,61,27.0,27.0,28.0,27.3,60.4,958.3,6.0,7.4,63.4,0.8,0.5,141.6
George Pickens,DAL (10),29,65,26.0,29.0,30.0,28.3,68.4,1001.7,6.4,1.0,6.2,0.0,0.9,137.3
Calvin Ridley,TEN (10),30,69,28.0,36.0,26.0,30.0,70.1,1027.0,6.0,5.6,33.4,0.3,0.9,141.9
Travis Hunter,JAC (8),31,70,29.0,30.0,32.0,30.3,68.4,887.4,5.2,3.8,21.8,0.1,0.8,121.2
Jerry Jeudy,CLE (9),32,71,34.0,34.0,29.0,32.3,80.8,1081.7,4.1,0.3,4.8,0.0,0.6,131.8
Jaylen Waddle,MIA (12),33,74,37.0,31.0,34.0,34.0,75.5,965.0,4.9,2.5,15.9,0.1,0.5,126.6
Chris Godwin,TB (9),34,76,32.0,35.0,37.0,34.7,75.0,862.3,5.6,1.2,6.9,0.0,0.6,119.6
Deebo Samuel Sr.,WAS (12),35,83,30.0,40.0,35.0,35.0,65.1,834.5,5.1,30.1,127.9,1.2,1.0,132.2
Chris Olave,NO (11),36,75,43.0,32.0,33.0,36.0,75.6,935.9,4.4,0.3,2.8,0.0,1.3,117.6
Jordan Addison,MIN (6),37,78,36.0,33.0,40.0,36.3,58.7,762.3,5.8,0.9,8.9,0.2,0.4,112.4
Rome Odunze,CHI (5),38,80,39.0,37.0,38.0,38.0,65.6,880.4,5.4,1.3,8.0,0.0,0.9,119.2
Jakobi Meyers,LV (8),39,90,35.0,39.0,43.0,39.0,82.4,966.4,5.3,1.2,8.9,0.0,0.5,128.5
