Player,Team,(Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Roschon Johnson,CHI,5,56,185,51.0,58.0,63.0,57.3,96.6,346.6,5.0,19.0,123.9,0.5,0.4,78.7,13.0,4.0,6.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,78.0,65.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Jaylen Wright,MIA,12,57,159,60.0,56.0,56.0,57.3,134.7,565.2,3.7,14.6,100.5,0.6,1.5,88.9,15.0,5.0,8.0,8.0,0.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,120.0,120.0,0.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
MarShawn Lloyd,GB,5,58,208,54.0,62.0,69.0,61.7,105.6,381.6,2.9,13.5,108.4,0.7,0.8,69.2,1.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Trevor Etienne,CAR,14,59,261,37.0,72.0,81.0,63.3,47.8,191.3,1.5,10.7,86.8,0.4,0.4,38.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kendre Miller,NO,11,60,278,43.0,75.0,84.0,67.3,95.0,365.9,3.4,9.7,72.6,0.2,0.4,64.5,7.0,6.0,8.0,13.0,1.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,56.0,91.0,7.0,7.0,-21.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
Justice Hill,BAL,7,61,181,N/A,61.0,58.0,59.5,41.8,185.1,1.1,27.3,222.6,1.7,0.4,56.7,15.0,3.0,6.0,9.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,45.0,90.0,135.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0
Kyle Monangai,CHI,5,62,183,N/A,63.0,57.0,60.0,33.4,213.0,1.8,4.4,31.6,0.0,0.0,35.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kareem Hunt,KC,10,63,195,N/A,66.0,59.0,62.5,82.4,314.4,3.3,18.3,125.9,0.7,0.1,68.1,13.0,15.0,31.0,25.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,195.0,403.0,325.0,13.0,13.0,-13.0,13.0,0.0,0.0,0.0,0.0,26.0,13.0
Raheem Mostert,LV,8,64,250,59.0,77.0,75.0,70.3,77.5,289.9,2.6,18.1,133.8,0.6,0.8,60.0,13.0,7.0,11.0,10.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,91.0,143.0,130.0,0.0,13.0,-26.0,13.0,0.0,0.0,0.0,0.0,26.0,0.0
Blake Corum,LAR,8,65,196,N/A,57.0,71.0,64.0,96.3,350.7,2.4,12.0,87.4,0.3,0.4,59.5,15.0,4.0,8.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,120.0,90.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
